account,region,source_date,source_path,source_lines,source_excerpt,license_header,decision_label,commercial_barrier,isd_proposal,support_to_purchase_chain,confidence,appendix_slide
トヨタホーム,JP,2026/09,docs/24_トヨタホーム.md,16–16,E5が26年度中に1200。28年くらいには5000になる見込,- / 無償: - / 合計: -,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,47
豊田中央研究所,JP,2026/09,docs/25_豊田中央研究所.md,16–16,STEP2、10/7にAgent365について説明、TTS同席。,- / 無償: - / 合計: -,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,48
TMNA,Americas,2026/09,docs/26_TMNA.md,12–17,① MSからの全体条件について Microsoftが前提としている大規模E7導入の予定は未定 特にAgent365に関しては検証中であり、導入可否判断が現時点で出来ない ② 価格について 総じて今までのToyotaとのパートナーシップを考慮されていないように受け止められている,6109 / 無償: 17000 / 合計: 23109,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,49
Aisin World America,Americas,2026/09,docs/27_Aisin World America.md,12–13,① MSからの全体条件について AWAは、現時点ではMicrosoftが求めるような大規模なE7導入を計画していない。現実的にはE5中心のロードマップを想定している。AI関連機能の価値は認識しているが、全社レベルでの導入判断にはまだ十分な検証が必要と考えている。,143 / 無償: 2400 / 合計: 2543,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,50
TMHNA(TINA),Americas,2026/09,docs/28_TMHNA(TINA).md,12–15,① MSからの全体条件について 現状の準備状況では、大規模なE7導入を前提としたコミットメントは難しいとの認識。 過去にE5へのアップグレード投資を実施しており、その直後にさらにE7へ移行することへの抵抗感がある。 TMHNAと他のグループ会社は利用状況やAzure消費量が異なるため、別々に意見を集めるべきとの提案。,6 / 無償: 2000 / 合計: 2006,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,51
JTEKT,Americas,2026/09,docs/29_JTEKT.md,12–15,① MSからの全体条件について JTECは現在主にE3を利用しており、一部E5、F1/F3ライセンスを利用している。 全ユーザーをE7へ移行する考えはなく、まず利用実態分析が必要との認識。 E7を全社員へ一律適用するのではなく、E7が必要なユーザー、E5が必要なユーザー、E3で十分なユーザー、Frontlineライセンス対象者 を分類すべきという意見。製造業特有の事情もあり、クラウドへ全面移行する前提には慎重。,185 / 無償: 1000 / 合計: 1185,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,52
SUBARU US,Americas,2026/09,docs/30_SUBARU US.md,16–17,関心度：不明／時期：未定。 Level of Interest: Unknown / Timing: TBD.,1000 / 無償: 0 / 合計: 1000,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,53
TFS Americas,Americas,2026/09,docs/31_TFS.md,16–16,関心度：不明／時期：未定。Copilotは今後展開する方向。,150 / 無償: 4700 / 合計: 4850,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,54
TMMC,Americas,2026/09,docs/32_TMMC.md,16–18,関心度：不明／時期：未定。Copilotに興味はあるが、TINAのポリシーによりCopilotを使えないとのこと。 Level of Interest: Unknown Timing: TBD. They are interested in Copilot but are currently unable to use it due to TINA’s policy.,58 / 無償: 2600 / 合計: 2658,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,55
SIA,Americas,2026/09,docs/33_SIA.md,16–17,関心度：不明／時期：未定。 Level of Interest: Unknown / Timing: TBD.,150 / 無償: 0 / 合計: 150,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,56
SCI,Americas,2026/09,docs/34_SCI.md,16–17,関心度：不明／時期：未定。 Level of Interest: Unknown / Timing: TBD.,50 / 無償: 0 / 合計: 50,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,57
Bastian,Americas,2026/09,docs/35_Bastian.md,16–18,関心度：不明／時期：未定。Copilotについては今後も利用拡大を進めるとのこと。 Level of Interest: Unknown Timing: TBD. They plan to continue expanding the use of Copilot going forward.,152 / 無償: 800 / 合計: 952,要確認,購入規模/課題/決裁が不足,成長意向の適格性確認,決裁者・対象・予算確認→必要時のみ導入支援,低,58
TAI,Americas,2026/09,docs/36_TAI.md,16–17,関心度：興味がある。価格が知りたいとの問い合わせあり。／時期：未定。Copilotに関心。これまで自社AIのみの利用だったがM365内でのCopilot利用に価値を見出しており、現在無償ライセンスをつかってCopilot検証中。 Level of Interest: Interested. They have inquired about pricing.,0 / 無償: 1000 / 合計: 1000,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,59
TGNA,Americas,2026/09,docs/37_TGNA.md,16–18,"関心度：興味がある／時期：未定。E7に間違いなく需要はあるとのコメント。Agent 365のルールなどをまずは把握したいとのこと。 Level of Interest: Interested Timing: TBD. They commented that there is definitely demand for E7. As a first step, they would like to better understand Agent 365, including its rules and policie",72 / 無償: 2600 / 合計: 2672,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,60
Toyota Colombia,Americas,2026/09,docs/38_Toyota Colombia.md,16–18,"関心度：不明／時期：未定。DefenderとCopilotの割合から見てME5へのアップグレードの可能性が予想される Level of Interest: Unknown Timing: TBD. Based on the current adoption of Defender and Copilot, there is potential for an upgrade to ME5.",100 / 無償: 0 / 合計: 100,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,61
Carolina Handling,Americas,2026/09,docs/39_Carolina Handling.md,16–17,関心度：興味がある。価格が知りたいとの問い合わせあり。／時期：未定。 Level of Interest: Interested. They have inquired about pricing. / Timing: TBD.,45 / 無償: 0 / 合計: 45,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,62
Abel Womack,Americas,2026/09,docs/40_Abel Womack.md,16–17,関心度：興味がある。価格が知りたいとの問い合わせあり。／時期：未定。 Level of Interest: Interested. They have inquired about pricing. / Timing: TBD.,50 / 無償: 0 / 合計: 50,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,63
NAL,Americas,2026/09,docs/41_NAL.md,16–17,関心度：興味がある。価格が知りたいとの問い合わせあり。／時期：未定。 Level of Interest: Interested. They have inquired about pricing. / Timing: TBD.,100 / 無償: 0 / 合計: 100,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,64
MACI,Americas,2026/09,docs/42_MACI.md,16–17,関心度：興味がある。価格が知りたいとの問い合わせあり。／時期：未定。 Level of Interest: Interested. They have inquired about pricing. / Timing: TBD.,146 / 無償: 0 / 合計: 146,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,65
Cascade,Americas,2026/09,docs/43_Cascade.md,16–17,関心度：興味がある。価格が知りたいとの問い合わせあり。／時期：未定。 Level of Interest: Interested. They have inquired about pricing. / Timing: TBD.,100 / 無償: 0 / 合計: 100,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,66
Shiroki,Americas,2026/09,docs/44_Shiroki.md,16–17,関心度：興味がある。価格が知りたいとの問い合わせあり。／時期：未定。 Level of Interest: Interested. They have inquired about pricing. / Timing: TBD.,14 / 無償: 0 / 合計: 14,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,67
TOYOTA MOTOR EUROPE,EMEA,2026/09,docs/45_TOYOTA MOTOR EUROPE.md,12–15,価格： ・価格を共有済み ・E7コミットメントのリスク：40万E7ライセンスという前提は、各地域の実需と乖離している可能性がある。E3またはE5継続を希望する関係者が殆どのため、現実的な需要確認が必要。 ・価格・割引条件のギャップ：提示されている割引率は現行条件より弱く、従来のボリュームディスカウントも反映されておらず、強く不満。,2482 / 無償: 0 / 合計: 2482,保留,投資保留/他AI・地域要件,既存投資・利用低下の確認,利用/投資方針確認→再評価,中,68
VANDERLANDE,EMEA,2026/09,docs/46_VANDERLANDE.md,12–19,価格： ・9月25日説明予定 E7： ・Copilot Studioの新しい料金体系（クレジット課金）が改善される、またはGA交渉の対象に含まれない限り、E7の採用は現実的ではないとの認識 ・顧客は次回更新時にE5への移行を検討中 Power BI to Fabric：,1575 / 無償: 10500 / 合計: 12075,別製品優先,価格/評価懸念、Copilot感度は限定的,E5移行要件の評価,E5要件確認→既存権利確認→必要時のみ追加提案,中,69
TMHE,EMEA,2026/09,docs/47_TMHE.md,12–19,価格： ・9月24日に説明予定 E7： ・E3継続希望。 Power BI to Fabric： ・移行については、CSAMの支援のもと、計画・推進済,75 / 無償: 9000 / 合計: 9075,条件付き,"9,000無償は注文ではない",約300人展開の組織変革,PoC対象→変革支援→継続利用→親会社方針と購入確認,中,70
CFAO,EMEA,2026/09,docs/48_CFAO.md,12–19,価格： 会議設定打診中 E7： ・E3継続希望。 Copilot: ・組織内におけるCopilot活用促進を目的として、AI機能（Microsoft 365 CopilotおよびCopilot Studio）の利用拡大に向けたワークショップを実施中,- / 無償: 4200 / 合計: 4200,条件付き,予算限定・全社計画なし,既存外部支援と非重複の定着支援,既存支援範囲確認→限定導入→成果確認→購入可否,中,71
TAL,EMEA,2026/09,docs/49_TAL.md,16–17,"・8月24日のVanderlandeとのMTGで確認予定 （TALはVanderlande、viastore、Bastianで構成） - To be confirmed during the meeting with Vanderlande on August 24. (TAL consists of Vanderlande, viastore, and Bastian.)",- / 無償: - / 合計: -,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,72
TFS EMEA,EMEA,2026/09,docs/50_TFS.md,12–17,価格： ・9月21日に説明予定 E7： ・E7は、価格がE3と同等の水準まで引き下げられない限り、現実的な選択肢ではないとの認識 ・コスト意識が非常に高い：一部の関連会社ではE5へのアップグレードを検討する可能性があるが、今後もE3が主流のライセンスであり続ける見込み,- / 無償: 1700 / 合計: 1700,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,73
TOYOTA MOTOR ASIA,APAC,2026/09,docs/51_TOYOTA MOTOR ASIA.md,15–18,【価格・契約条件】 ・長年GAに参画していることを踏まえ、現行より競争力のある価格を期待していた ・Microsoftが2027年4月までに対象ユーザー全体のE7化を期待する場合、現行E5と同等水準の価格が必要との認識。 ・GAの割引率について、他の大規模契約との比較も含め、より競争力のある条件を要望。,1261 / 無償: - / 合計: -,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,74
TMCA,APAC,2026/09,docs/52_TMCA.md,14–19,【価格・判断基準】 ・現行の提示価格は、直ちに購入判断できる水準ではない。 ・E7の導入可否は価格が最重要の判断基準。E5＋Copilotと同等またはそれ以下の価格であれば、E7を前向きに検討可能。 【E7導入可能性】 ・Agent 365は現時点では必要性を認識しておらず、E7の評価は主にE5＋Copilotとの価格比較に基づく。,170 / 無償: - / 合計: -,条件付き,価格条件、Agent365必要性なし,限定E7の商用条件確認,対象限定→商用条件→必要性確認→購入判断,中,75
